corridor,counted,reason_if_excluded,address,permitnum,permittype,permitclass,issued_year,issued_date,status,units_added,units_removed,net_units,description
N/NE 45th St,True,,1601 N 45TH ST,6464513-PH,New,Multifamily,2016,2016-10-09,Completed,40.0,0.0,40.0,Construct a new residential and retail building  and occupy per plan.
N/NE 45th St,False,lng -122.35095379 W of Stone Way,612 N 45TH ST,6509911-CN,New,Multifamily,2016,2016-10-13,Completed,5.0,0.0,0,Establish use as and Construct townhouse structure with attached garages  per plan.
N/NE 45th St,False,lng -122.35095379 W of Stone Way,612 N 45TH ST,6529454-DM,Demolition,Single Family/Duplex,2016,2016-10-13,Completed,0.0,1.0,0,Demolish existing single family residence  subject to field inspection (STFI).
N/NE 45th St,True,,100 NE 45TH ST,6679155-CN,New,Multifamily,2019,2019-09-19,Completed,2.0,0.0,2.0,Establish Use as Townhouse and Live work and construct 2 townhouse units and 4 live work units  per plan.
N/NE 45th St,False,lng -122.36264036 W of Stone Way,408 NW 45TH ST,6750896-CN,Addition/Alteration,Single Family/Duplex,2019,2019-12-09,Completed,1.0,0.0,0,Construct alterations to create an attached accessory dwelling unit (AADU) to an existing single family residence in the
N/NE 45th St,False,lng -122.29209459 E of I-5,3200 NE 45TH ST,6557274-PH,New,Commercial,2020,2020-08-28,Completed,136.0,0.0,0,Phased project:  Construction of a residential and retail building with below grade parking and occupy  per plan
N/NE 45th St,True,,1624 N 45TH ST,6598837-CN,New,Commercial,2021,2021-04-15,Issued,12.0,0.0,12.0,Establish use as and construct mixed-use building  occupy per plan.
N/NE 45th St,False,lng -122.35772989 W of Stone Way,109 NW 45TH ST,6809888-CN,Addition/Alteration,Single Family/Duplex,2022,2022-06-22,Completed,1.0,0.0,0,Remove existing home to first floor framing  establish attached accessory dwelling unit (AADU) in basement and construct
N/NE 45th St,False,lat 47.73393497 not on 45th line,701 B N 145TH ST,6891452-CN,Addition/Alteration,Single Family/Duplex,2022,2022-08-18,Completed,1.0,0.0,0,Construct new modular one family dwelling (DADU) accessory to existing single family residence  existing accessory struc
N/NE 45th St,False,lng -122.31522998 E of I-5,1200 NE 45TH ST,6878443-DM,Demolition,Commercial,2022,2022-10-06,Expired,215.0,0.0,0,Demolish commercial building and associated site work  per plans
N/NE 45th St,False,demolition permit (units counted on construction permit),1901 N 45TH ST,6831678-DM,Demolition,Multifamily,2023,2023-12-29,Completed,20.0,0.0,0,Demolish mixed-use building  per plan.
N/NE 45th St,False,lng -122.29546241 E of I-5,3020 NE 45TH ST,6959222-DM,Demolition,Commercial,2024,2024-11-01,Expired,734.0,0.0,0,Demolish existing commercial building (restaurant) and parking lot  per plan.
N/NE 45th St,False,lng -122.29546241 E of I-5,3020 NE 45TH ST,6880831-DM,Demolition,Multifamily,2025,2025-01-02,Issued,734.0,0.0,0,Demolish existing grocery store and parking lot  per plan.
N/NE 45th St,False,lng -122.34643967 W of Stone Way,951 N 45TH ST,6811443-CN,Addition/Alteration,Multifamily,2025,2025-02-15,Completed,1.0,0.0,0,Construct alterations to existing multifamily building at basement level to add a unit  occupy per plan.
