year,StoneWay_open_to_date,StoneWay_new,45th_open_to_date,45th_new
2006,2,2,8,8
2007,3,1,8,0
2008,3,0,10,2
2009,3,0,11,1
2010,3,0,13,2
2011,3,0,13,0
2012,5,2,15,2
2013,6,1,18,3
2014,7,1,19,1
2015,8,1,23,4
2016,9,1,26,3
2017,10,1,29,3
2018,12,2,30,1
2019,12,0,32,2
2020,13,1,33,1
2021,13,0,35,2
2022,15,2,38,3
2023,18,3,39,1
2024,24,6,41,2
2025,29,5,48,7
